name,genres,popularity,id
Aaliyah,['r&b'],66,0urTpYCsixqZwgNTkPJOJ4
Aaron May,[],68,2rwALQ1SXdfUWPUd6WOfYS
Aaron Lewis,['country'],57,2t2XKfWKLXpFIjFwy1K8wx
Anuel AA,"['reggaeton', 'trap latino', 'urbano latino', 'latin']",88,2R21vXR83lH98kGeO99Y66
Aaron Watson,"['texas country', 'red dirt', 'country']",51,5BKzvAPtNXnt0LwzGvKOH3
Atif Aslam,"['bollywood', 'hindi pop', 'desi', 'sufi', 'qawwali']",79,2oSONSC9zQ4UonDKnLqksx
Aaron Carter,['bubblegum pop'],41,5338fdSzGNOFD4cxAxDTeq
Aaron Pierre,[],64,012IYp3Wm00izN8OagA1qY
Aaron Tippin,"['country', 'traditional country']",50,4XwKU420OWVk38vz1KvH3M
Aaron Frazer,['retro soul'],64,4dwDVC6lrMINxVBxETE1AB
Aaron West and The Roaring Twenties,"['midwest emo', 'pop punk']",37,59cc2f0IvGu6YVEtY4cS0p
Aaron Neville,[],55,57ALvbCBaCkNlgTOSiUPdT
Elvis Presley,"['rockabilly', 'rock and roll']",78,43ZHCT0cAZBISjO8DG9PnE
Aaron Hibell,['stutter house'],59,6KJPsGYJN54GllYOKTleaj
Asha Bhosle,"['ghazal', 'marathi pop', 'bangla pop', 'bollywood', 'hindi pop']",71,5as8A4G47Ohu9NSWs3Je8U
Aaron Smith,[],64,77qukKzmdI5BeMBR7WGUrN
Aaron Hall,"['new jack swing', 'quiet storm']",49,772SIFJQiXTCfxncTK1UMn
Alien Ant Farm,"['nu metal', 'alternative metal']",59,6TZdvF1kFzwnQLgHQynzsO
aaron's book club,[],40,6vzSrIg2hK1qTPUGrGCLqq
Aaron Moses,"['christian alternative rock', 'gospel r&b']",53,4QzrhxZWtXfuW6rZATPTE7
Aaron Cole,"['christian hip hop', 'gospel r&b', 'christian pop', 'pop worship', 'christian']",51,0OQ8y7heASb1vEX5WXvjCr
Aaryan Shah,[],60,4RzbexUO843fc5SLqKEQCr
Aaron Gordon,[],20,55vQeqkGNzPcjJ8vtWDGGO
Aaron Y Su Grupo Ilusion,"['cumbia', 'cumbia sonidera', 'salsa']",59,1zVxAFV8uL5V816dzdHvYQ
Aaron Page,[],35,3VDL2INkcXTUD91WQ5qqEJ
Aatig,"['house', 'tech house']",56,21OabQwzpxuFNxp7p781Ao
Aaron Tveit,['musicals'],54,68h2f0WXn4zEctSgNYozXx
Aaron Copland,"['classical', 'orchestra']",46,0nJvyjVTb8sAULPYyA1bqU
Aaron McBee,['country rock'],35,2tjfjMlrGuA2b7cPCAEswA
Aaron Fraser-Nash,[],47,4p8Bt7SQvRh11dl9caLNNK
Aaron Shust,"['christian', 'ccm', 'worship', 'christian rock', 'pop worship']",47,0oM8RWZXhJYSnzGdepP7fM
Staind,"['post-grunge', 'nu metal', 'alternative metal']",68,5KDIH2gF0VpelTqyQS7udb
Aastha Gill,"['bollywood', 'hindi pop', 'desi', 'desi pop']",63,1BYjhAClGpBTLZfics0VRZ
Aaron Kamm and the One Drops,['reggae rock'],28,5JslLVeHhYP7OOgBAnRF11
Snoh Aalegra,"['alternative r&b', 'neo soul']",65,1A9o3Ljt67pFZ89YtPPL5X
Aaron Williams,['worship'],44,4HRAisqWU6muzcJTkGMquz
Aaron Cherof,[],50,12wrk3bSfQZL9vou4QWI7u
A.A. Bondy,"['alt country', 'indie folk']",32,4l8UbJGiXxbfyDJPvcVH23
Aaron Modesto,"['funk', 'funk consciente', 'trap funk']",64,48yaM25WLHmQZXx5NN3DYH
Aaradhna,['nz reggae'],46,4CeW2xghttvllIwy4AqNSg
Aaron Parks,"['jazz', 'jazz fusion']",42,22KzEvCtrTGf9l6k7zFcdv
Aarne,[],59,5B5qmrbTFvA7TAxWruuwbo
Aaron Shaw,[],45,0qPySm8H94HasHkSadRyie
SZA,['r&b'],95,7tYKF4w9nC0nq9CsPZTHyP
Aaron Lee Tasjan,"['americana', 'alt country']",29,4PztbfCny3X9gBjlpgvjYo
Aliyah's Interlude,[],56,7maQENQfaF8xDdEJp4i545
Aara,['black metal'],30,3UpDjZ41s0rOQsDKSECKmt
Aaron Taylor,['neo soul'],52,1evO4fwLsEkkPGq32dCix7
Aaron Crawford,['traditional country'],20,7i50kdUrJSwt4ds1b0OsvM
Aaron Grubb,[],46,415cFaXUlh8X7EtO57cBel
ABBA,[],80,0LcJLqbBmaGUft1e9Mm8HV
Able Heart,[],53,1Qr7z3g1f7L93ZWdCKGSjV
Gracie Abrams,[],88,4tuJ0bMpJh08umKkEXKUI5
Ab-Soul,[],61,0g9vAlRPK9Gt3FKCekk4TW
A Boogie Wit da Hoodie,['melodic rap'],77,31W5EY0aAly4Qieq6OFu6I
Above & Beyond,"['trance', 'progressive trance', 'progressive house']",61,10gzBoINW3cLJfZUka8Zoe
Avicii,['edm'],83,1vCWHaC5f2uS3yhpwWbIA6
Abbie Gamboa,['worship'],61,4TJVQinD20ZEoJXSuV6IU5
Aventura,"['bachata', 'bachata pop']",79,1qto4hHid1P71emI6Fd8xi
Avenged Sevenfold,"['metal', 'alternative metal', 'heavy metal']",76,0nmQIMXWTXfhgOBdNzhGOs
Abe Parker,[],57,5V61WloeXM3XLslOqJ8RES
Avril Lavigne,[],77,0p4nmQO2msCgU4IF37Wi3j
Aborted,"['death metal', 'grindcore', 'deathcore', 'metal']",43,1XRhUgCyzIdeT8d9KMfeDR
Abraham Vazquez,"['corrido', 'sierreño', 'corridos tumbados', 'corridos bélicos', 'sad sierreño', 'banda']",60,063Vp9es6lLAbFUDtIAkFD
Abby Powledge,[],46,5H2vu7amXrDfVapz04U8LJ
